Date,AMZN,BA,DIS,IBM,KO,MSFT
2013-12-31,398.7900085449219,116.65414428710938,70.31214904785156,129.84146118164062,31.941490173339844,32.07843780517578
2014-01-02,397.9700012207031,116.80792999267578,70.1925277709961,128.42935180664062,31.438905715942383,31.86407470703125
2014-01-03,396.44000244140625,117.619873046875,70.0452651977539,129.19772338867188,31.284259796142578,31.649694442749023
2014-01-06,393.6300048828125,118.2950668334961,69.77837371826172,128.7546844482422,31.137353897094727,30.980865478515625
2014-01-07,398.0299987792969,120.08988952636719,70.2569351196289,131.32284545898438,31.230138778686523,31.220956802368164
2014-01-08,401.9200134277344,120.35484313964844,69.22618865966797,130.11834716796875,30.882183074951172,30.66359519958496
2014-01-09,401.010009765625,121.47444152832031,68.93168640136719,129.70997619628906,30.719806671142578,30.466373443603516
2014-01-10,397.6600036621094,121.27788543701172,69.38263702392578,129.6268310546875,31.02910041809082,30.903697967529297
2014-01-13,390.9800109863281,120.25228118896484,67.43157196044922,127.48095703125,30.56516456604004,29.9947509765625
2014-01-14,397.5400085449219,119.66253662109375,68.51753997802734,128.69927978515625,30.68887710571289,30.680749893188477
2014-01-15,395.8699951171875,120.18388366699219,68.361083984375,129.95913696289062,30.74299430847168,31.52108383178711
2014-01-16,395.79998779296875,119.83345031738281,68.29666900634766,130.66522216796875,30.704341888427734,31.632556915283203
2014-01-17,399.6099853515625,120.04717254638672,68.08500671386719,131.58592224121094,30.371868133544922,31.195234298706055
2014-01-21,407.04998779296875,121.08132934570312,68.28746032714844,130.43678283691406,30.86672592163086,31.015161514282227
2014-01-22,404.5400085449219,123.38895416259766,69.30901336669922,126.15882110595703,30.851259231567383,30.809375762939453
2014-01-23,399.8699951171875,120.77359771728516,68.83043670654297,126.49110412597656,30.340944290161133,30.920839309692383
2014-01-24,387.6000061035156,116.7908706665039,66.92538452148438,124.35208129882812,30.031654357910156,31.563961029052734
2014-01-27,386.2799987792969,117.39767456054688,66.49284362792969,123.14763641357422,29.94660186767578,30.895116806030273
2014-01-28,394.42999267578125,117.1668930053711,67.07263946533203,122.42076873779297,30.054847717285156,31.100915908813477
2014-01-29,384.20001220703125,110.91923522949219,65.64616394042969,122.1092529296875,29.304832458496094,31.43533706665039
2014-01-30,403.010009765625,108.1415786743164,67.38555145263672,122.7737808227539,29.513599395751953,31.606826782226562
2014-01-31,358.69000244140625,107.05615997314453,66.82415771484375,122.3030776977539,29.24297523498535,32.447166442871094
2014-02-03,346.1499938964844,105.19297790527344,64.41291046142578,119.68647003173828,28.763582229614258,31.280977249145508
2014-02-04,347.95001220703125,104.30410766601562,65.38846588134766,119.64492797851562,28.980083465576172,31.169517517089844
2014-02-05,346.45001220703125,103.7571029663086,66.04188537597656,120.61402893066406,29.080595016479492,30.715044021606445
2014-02-06,354.5899963378906,104.84253692626953,69.53907775878906,121.5745849609375,29.405344009399414,31.023727416992188
2014-02-07,361.0799865722656,108.56037139892578,69.64032745361328,123.37028503417969,29.343490600585938,31.349578857421875
